OrderID,ProductID,UnitPrice,Quantity,Discount
10281,19,7.3,1,0
10281,24,3.6,6,0
10281,35,14.4,4,0
10282,30,20.7,6,0
10282,57,15.6,2,0
10283,15,12.4,20,0
10283,19,7.3,18,0
10283,60,27.2,35,0
10283,72,27.8,3,0
10284,27,35.1,15,0.25
10284,44,15.5,21,0
10284,60,27.2,20,0.25
10284,67,11.2,5,0.25
10285,1,14.4,45,0.2
10285,40,14.7,40,0.2
10285,53,26.2,36,0.2
10286,35,14.4,100,0
10286,62,39.4,40,0
10287,16,13.9,40,0.15
10287,34,11.2,20,0
10287,46,9.6,15,0.15
10288,54,5.9,10,0.1
10288,68,10.0,3,0.1
10289,3,8.0,30,0
10289,64,26.6,9,0
10290,5,17.0,20,0
10290,29,99.0,15,0
10290,49,16.0,15,0
10290,77,10.4,10,0
10291,13,4.8,20,0.1
10291,44,15.5,24,0.1
10291,51,42.4,2,0.1
10292,20,64.8,20,0
10293,18,50.0,12,0
10293,24,3.6,10,0
10293,63,35.1,5,0
10293,75,6.2,6,0
10294,1,14.4,18,0
10294,17,31.2,15,0
10294,43,36.8,15,0
10294,60,27.2,21,0
10294,75,6.2,6,0
10295,56,30.4,4,0
10296,11,16.8,12,0
10296,16,13.9,30,0
10296,69,28.8,15,0
10297,39,14.4,60,0
10297,72,27.8,20,0
10298,2,15.2,40,0
10298,36,15.2,40,0.25
10298,59,44.0,30,0.25
10298,62,39.4,15,0
10299,19,7.3,15,0
10299,70,12.0,20,0
10300,66,13.6,30,0
10300,68,10.0,20,0
10301,40,14.7,10,0
10301,56,30.4,20,0
10302,17,31.2,40,0
10302,28,36.4,28,0
10302,43,36.8,12,0
10303,40,14.7,40,0.1
10303,65,16.8,30,0.1
10303,68,10.0,15,0.1
10304,49,16.0,30,0
10304,59,44.0,10,0
10304,71,17.2,2,0
10305,18,50.0,25,0.1
10305,29,99.0,25,0.1
10305,39,14.4,30,0.1
10306,30,20.7,10,0
10306,53,26.2,10,0
10306,54,5.9,5,0
10307,62,39.4,10,0
10307,68,10.0,3,0
10308,69,28.8,1,0
10308,70,12.0,5,0
10309,4,17.6,20,0
10309,6,20.0,30,0
10309,42,11.2,2,0
10309,43,36.8,20,0
10309,71,17.2,3,0
10310,16,13.9,10,0
10310,62,39.4,5,0
10311,42,11.2,6,0
10311,69,28.8,7,0
10312,28,36.4,4,0
10312,43,36.8,24,0
10312,53,26.2,20,0
10312,75,6.2,10,0
10313,36,15.2,12,0
10314,32,25.6,40,0.1
10314,58,10.6,30,0.1
10314,62,39.4,25,0.1
10315,34,11.2,14,0
10315,70,12.0,30,0
10316,41,7.7,10,0
10316,62,39.4,70,0
10317,1,14.4,20,0
10318,41,7.7,20,0
10318,76,14.4,6,0
10319,17,31.2,8,0
10319,28,36.4,14,0
10319,76,14.4,30,0
10320,71,17.2,30,0
10321,35,14.4,10,0
10322,52,5.6,20,0
10323,15,12.4,5,0
10323,25,11.2,4,0
10323,39,14.4,4,0
10324,16,13.9,21,0.15
10324,35,14.4,70,0.15
10324,46,9.6,30,0
10324,59,44.0,40,0.15
10324,63,35.1,80,0.15
10325,6,20.0,6,0
10325,13,4.8,12,0
10325,14,18.6,9,0
10325,31,10.0,4,0
10325,72,27.8,40,0
10326,4,17.6,24,0
10326,57,15.6,16,0
10326,75,6.2,50,0
10327,2,15.2,25,0.2
10327,11,16.8,50,0.2
10327,30,20.7,35,0.2
10327,58,10.6,30,0.2
10328,59,44.0,9,0
10328,65,16.8,40,0
10328,68,10.0,10,0
10329,19,7.3,10,0.05
10329,30,20.7,8,0.05
10329,38,210.8,20,0.05
10329,56,30.4,12,0.05
10330,26,24.9,50,0.15
10330,72,27.8,25,0.15
10331,54,5.9,15,0
10332,18,50.0,40,0.2
10332,42,11.2,10,0.2
10332,47,7.6,16,0.2
10333,14,18.6,10,0
10333,21,8.0,10,0.1
10333,71,17.2,40,0.1
10334,52,5.6,8,0
10334,68,10.0,10,0
10335,2,15.2,7,0.2
10335,31,10.0,25,0.2
10335,32,25.6,6,0.2
10335,51,42.4,48,0.2
10336,4,17.6,18,0.1
10337,23,7.2,40,0
10337,26,24.9,24,0
10337,36,15.2,20,0
10337,37,20.8,28,0
10337,72,27.8,25,0
10338,17,31.2,20,0
10338,30,20.7,15,0
10339,4,17.6,10,0
10339,17,31.2,70,0.05
10339,62,39.4,28,0
10340,18,50.0,20,0.05
10340,41,7.7,12,0.05
10340,43,36.8,40,0.05
10341,33,2.0,8,0
10341,59,44.0,9,0.15
10342,2,15.2,24,0.2
10342,31,10.0,56,0.2
10342,36,15.2,40,0.2
10342,55,19.2,40,0.2
10343,64,26.6,50,0
10343,68,10.0,4,0.05
10343,76,14.4,15,0
10344,4,17.6,35,0
10344,8,32.0,70,0.25
10345,8,32.0,70,0
10345,19,7.3,80,0
10345,42,11.2,9,0
10346,17,31.2,36,0.1
10346,56,30.4,20,0
10347,25,11.2,10,0
10347,39,14.4,50,0.15
10347,40,14.7,4,0
10347,75,6.2,6,0.15
10348,1,14.4,15,0.15
10348,23,7.2,25,0
10349,54,5.9,24,0
10350,50,13.0,15,0.1
10350,69,28.8,18,0.1
10351,38,210.8,20,0.05
10351,41,7.7,13,0
10351,44,15.5,77,0.05
10351,65,16.8,10,0.05
10352,24,3.6,10,0
10352,54,5.9,20,0.15
10353,11,16.8,12,0.2
10353,38,210.8,50,0.2
10354,1,14.4,12,0
10354,29,99.0,4,0
10355,24,3.6,25,0
10355,57,15.6,25,0
10356,31,10.0,30,0
10356,55,19.2,12,0
10356,69,28.8,20,0
10357,10,24.8,30,0.2
10357,26,24.9,16,0
10357,60,27.2,8,0.2
10358,24,3.6,10,0.05
10358,34,11.2,10,0.05
10358,36,15.2,20,0.05
10359,16,13.9,56,0.05
10359,31,10.0,70,0.05
10359,60,27.2,80,0.05
10360,28,36.4,30,0
10360,29,99.0,35,0
10360,38,210.8,10,0
10360,49,16.0,35,0
10360,54,5.9,28,0
10361,39,14.4,54,0.1
10361,60,27.2,55,0.1
10362,25,11.2,50,0
10362,51,42.4,20,0
10362,54,5.9,24,0
10363,31,10.0,20,0
10363,75,6.2,12,0
10363,76,14.4,12,0
10364,69,28.8,30,0
10364,71,17.2,5,0
10365,11,16.8,24,0
10366,65,16.8,5,0
10366,77,10.4,5,0
10367,34,11.2,36,0
10367,54,5.9,18,0
10367,65,16.8,15,0
10367,77,10.4,7,0
10368,21,8.0,5,0.1
10368,28,36.4,13,0.1
10368,57,15.6,25,0
10368,64,26.6,35,0.1
10369,29,99.0,20,0
10369,56,30.4,18,0.25
10370,1,14.4,15,0.15
10370,64,26.6,30,0
10370,74,8.0,20,0.15
10371,36,15.2,6,0.2
10372,20,64.8,12,0.25
10372,38,210.8,40,0.25
10372,60,27.2,70,0.25
10372,72,27.8,42,0.25
10373,58,10.6,80,0.2
10373,71,17.2,50,0.2
10374,31,10.0,30,0
10374,58,10.6,15,0
10375,14,18.6,15,0
10375,54,5.9,10,0
10376,31,10.0,42,0.05
10377,28,36.4,20,0.15
10377,39,14.4,20,0.15
10378,71,17.2,6,0
10379,41,7.7,8,0.1
10379,63,35.1,16,0.1
10379,65,16.8,20,0.1
10380,30,20.7,18,0.1
10380,53,26.2,20,0.1
10380,60,27.2,6,0.1
10380,70,12.0,30,0
10381,74,8.0,14,0
10382,5,17.0,32,0
10382,18,50.0,9,0
10382,29,99.0,14,0
10382,33,2.0,60,0
10382,74,8.0,50,0
10383,13,4.8,20,0
10383,50,13.0,15,0
10383,56,30.4,20,0
10384,20,64.8,28,0
10384,60,27.2,15,0
10385,7,24.0,10,0.2
10385,60,27.2,20,0.2
10385,68,10.0,8,0.2
10386,24,3.6,15,0
10386,34,11.2,10,0
10387,24,3.6,15,0
10387,28,36.4,6,0
10387,59,44.0,12,0
10387,71,17.2,15,0
10388,45,7.6,15,0.2
10388,52,5.6,20,0.2
10388,53,26.2,40,0
10389,10,24.8,16,0
10389,55,19.2,15,0
10389,62,39.4,20,0
10389,70,12.0,30,0
10390,31,10.0,60,0.1
10390,35,14.4,40,0.1
10390,46,9.6,45,0
10390,72,27.8,24,0.1
10391,13,4.8,18,0
10392,69,28.8,50,0
10393,2,15.2,25,0.25
10393,14,18.6,42,0.25
10393,25,11.2,7,0.25
10393,26,24.9,70,0.25
10393,31,10.0,32,0
10394,13,4.8,10,0
10394,62,39.4,10,0
10395,46,9.6,28,0.1
10395,53,26.2,70,0.1
10395,69,28.8,8,0
10396,23,7.2,40,0
10396,71,17.2,60,0
10396,72,27.8,21,0
10397,21,8.0,10,0.15
10397,51,42.4,18,0.15
10398,35,14.4,30,0
10398,55,19.2,120,0.1
10399,68,10.0,60,0
10399,71,17.2,30,0
10399,76,14.4,35,0
10399,77,10.4,14,0
10400,29,99.0,21,0
10400,35,14.4,35,0
10400,49,16.0,30,0
10401,30,20.7,18,0
10401,56,30.4,70,0
10401,65,16.8,20,0
10401,71,17.2,60,0
10402,23,7.2,60,0
10402,63,35.1,65,0
10403,16,13.9,21,0.15
10403,48,10.2,70,0.15
10404,26,24.9,30,0.05
10404,42,11.2,40,0.05
10404,49,16.0,30,0.05
10405,3,8.0,50,0
10406,1,14.4,10,0
10406,21,8.0,30,0.1
10406,28,36.4,42,0.1
10406,36,15.2,5,0.1
10406,40,14.7,2,0.1
10407,11,16.8,30,0
10407,69,28.8,15,0
10407,71,17.2,15,0
10408,37,20.8,10,0
10408,54,5.9,6,0
10408,62,39.4,35,0
10409,14,18.6,12,0
10409,21,8.0,12,0
10410,33,2.0,49,0
10410,59,44.0,16,0
10411,41,7.7,25,0.2
10411,44,15.5,40,0.2
10411,59,44.0,9,0.2
10412,14,18.6,20,0.1
10413,1,14.4,24,0
10413,62,39.4,40,0
10413,76,14.4,14,0
10414,19,7.3,18,0.05
10414,33,2.0,50,0
10415,17,31.2,2,0
10415,33,2.0,20,0
10416,19,7.3,20,0
10416,53,26.2,10,0
10416,57,15.6,20,0
10417,38,210.8,50,0
10417,46,9.6,2,0.25
10417,68,10.0,36,0.25
10417,77,10.4,35,0
10418,2,15.2,60,0
10418,47,7.6,55,0
10418,61,22.8,16,0
10418,74,8.0,15,0
10419,60,27.2,60,0.05
10419,69,28.8,20,0.05
10420,9,77.6,20,0.1
10420,13,4.8,2,0.1
10420,70,12.0,8,0.1
10420,73,12.0,20,0.1
10421,19,7.3,4,0.15
10421,26,24.9,30,0
10421,53,26.2,15,0.15
10421,77,10.4,10,0.15
10422,26,24.9,2,0
10423,31,10.0,14,0
10423,59,44.0,20,0
10424,35,14.4,60,0.2
10424,38,210.8,49,0.2
10424,68,10.0,30,0.2
10425,55,19.2,10,0.25
10425,76,14.4,20,0.25
10426,56,30.4,5,0
10426,64,26.6,7,0
10427,14,18.6,35,0
10428,46,9.6,20,0
10429,50,13.0,40,0
10429,63,35.1,35,0.25
10430,17,31.2,45,0.2
10430,21,8.0,50,0
10430,56,30.4,30,0
10430,59,44.0,70,0.2
10431,17,31.2,50,0.25
10431,40,14.7,50,0.25
10431,47,7.6,30,0.25
10432,26,24.9,10,0
10432,54,5.9,40,0
10433,56,30.4,28,0
10434,11,16.8,6,0
10434,76,14.4,18,0.15
10435,2,15.2,10,0
10435,22,16.8,12,0
10435,72,27.8,10,0
10436,46,9.6,5,0
10436,56,30.4,40,0.1
10436,64,26.6,30,0.1
10436,75,6.2,24,0.1
